ts,idx,level_kind,level_price,direction,label,is_fake,close,atr_abs,vol_ratio,rsi14,adx14,atr_pct,pen_atr,body_ratio,wick_against_atr,dist_ema200_atr,ema50_side,with_ema200_trend,approach_speed_atr,bb_width_rank,touches,level_age_bars,hour_utc,ny_session,is_channel,prebreak_range_atr,vol_buildup,ema50_slope_atr,vwap_dist_atr,attempts
2026-04-07T18:55:00+00:00,384,channel_lower,115.23,down,true,0,114.95,0.6141627456889931,1.0498186676846728,38.94079677454914,18.448432361569736,0.5342868601035172,0.46383877596077144,0.423529411764701,0.7489871426244863,0.6632996192998855,0.0,0.0,1.4002803101240144,72.22222222222221,0.0,96.0,18.0,1.0,1.0,3.8751943466222674,0.774320799134695,-0.4192939480145768,-0.41296613437396756,0.0
2026-04-07T23:30:00+00:00,439,channel_lower,111.11,down,fake,1,110.76,0.9695905268709702,1.0021017234131988,32.52535587264485,46.891851929727345,0.875397731013877,0.36109758830268956,0.6463414634146297,0.2990953314445887,-3.5352763962933196,0.0,1.0,0.6806997198393906,100.0,0.0,96.0,23.0,0.0,1.0,6.322256488811353,0.8457335014712064,0.9685879965286938,3.7260402477135344,0.0
2026-04-08T15:00:00+00:00,614,channel_lower,92.96,down,fake,1,92.62,0.5039203616221367,1.3089651765868116,32.09467742833186,25.59655816384074,0.5440729449601994,0.6830322948210226,0.8787878787878808,0.059533216525385325,-12.657739591009364,0.0,1.0,1.3097307635584208,75.69444444444444,0.0,96.0,15.0,1.0,1.0,4.921412566098342,1.006009714332757,1.209772019878911,7.308296609805641,0.0
2026-04-08T17:20:00+00:00,642,channel_upper,93.9,up,true,0,94.33,0.7694463335139808,1.0770357113804605,58.465038278967576,14.766888635460768,0.8156963145489037,0.56068455950123,0.7222222222222082,0.03898907395268787,-4.169801118240654,1.0,0.0,1.5075775261705362,61.111111111111114,0.0,96.0,17.0,1.0,1.0,4.3277872087481875,1.0520892648932998,-0.2202719701862085,-1.7273044022057649,0.0
2026-04-08T21:05:00+00:00,687,support,94.09,down,fake,1,93.79,0.5576125232410434,1.267037400501581,37.27966243839256,15.18813702544849,0.5945330240335253,0.5380080028624356,0.8709677419354647,0.03586720019084772,-5.152863573413459,0.0,1.0,3.2101144170792146,45.83333333333333,2.0,84.0,21.0,0.0,0.0,3.8915912207049903,0.9108421473485262,-0.2365491400677711,3.1802364878466762,0.0
2026-04-08T22:20:00+00:00,702,resistance,96.41,up,fake,1,96.64,0.5463914046122006,0.7753981328940143,66.10892292821359,18.10309556673859,0.5653884567593135,0.42704429711687647,0.836065573770501,0.1464151875829343,0.3311220667864587,1.0,1.0,3.0930208376895485,67.36111111111111,3.0,134.0,22.0,0.0,0.0,4.850003088684812,0.7534321801208127,0.4257240733351019,2.0322177765232317,0.0
2026-04-09T14:15:00+00:00,822,channel_upper,101.01,up,fake,1,101.300003051758,0.523847623786135,2.1871290913114327,69.68462565627998,23.031862837206727,0.5171249832228352,0.5554185395082988,0.7479701524012684,0.343611953176474,6.444588423719915,1.0,1.0,2.4625499037381346,62.5,0.0,96.0,14.0,1.0,1.0,4.123343438112724,1.0772026527724692,0.9124658711582918,4.299816443237917,0.0
2026-04-09T18:00:00+00:00,867,resistance,96.41,up,true,0,97.3099975585938,0.7359435885655997,1.5938745662584957,49.783860248333035,37.57884499256963,0.7562877474356753,1.2274458341131484,0.6993005500632157,0.21741294386591087,-1.1715935979101624,0.0,0.0,1.616964711019738,66.31944444444444,3.0,299.0,18.0,1.0,0.0,5.3400836235772,0.8380411612323517,-1.4702727320939466,-2.2323808396486395,1.0
2026-04-10T06:45:00+00:00,1008,support,97.88,down,fake,1,97.76,0.23062057639625147,2.077814569536424,27.07355433965506,19.6625694316301,0.23590484492251582,0.49865852095414254,0.547619047619021,0.780502775653164,-3.044411761937704,0.0,1.0,3.8157913476375263,35.76388888888889,2.0,94.0,6.0,0.0,0.0,3.859152612951611,1.4045253863134657,0.3652703868779918,3.6896647293371405,0.0
2026-04-10T08:00:00+00:00,1023,support,98.35,down,fake,1,98.25,0.18923549307754567,0.5785837651122625,49.49895733339493,17.902356132873532,0.19260609982447396,0.5548625847961816,0.8000000000000758,0.10568841856638565,-0.8480009236830003,0.0,1.0,-0.21137683713284638,31.25,2.0,218.0,8.0,0.0,0.0,6.341305113984416,0.7196315486470927,0.5465820015099192,1.5754555908972105,0.0
2026-04-10T10:05:00+00:00,1048,resistance,99.19,up,true,0,99.36,0.2586215215439044,1.755874673629243,71.6377606364218,16.65194646224645,0.2602873606520777,0.6573351523018636,0.44444444444443565,0.386665422904559,3.542637256006918,1.0,1.0,2.6293248757511223,32.98611111111111,3.0,124.0,10.0,0.0,0.0,4.910650870888219,1.468668407310705,0.44629183754970314,3.085557164208213,0.0
