ts,idx,level_kind,level_price,direction,label,is_fake,close,atr_abs,vol_ratio,rsi14,adx14,atr_pct,pen_atr,body_ratio,wick_against_atr,dist_ema200_atr,ema50_side,with_ema200_trend,approach_speed_atr,bb_width_rank,touches,level_age_bars,hour_utc,ny_session,is_channel,prebreak_range_atr,vol_buildup,ema50_slope_atr,vwap_dist_atr,attempts
2026-04-07T19:00:00+00:00,387,channel_upper,4659.79,up,true,0,4662.63,10.251111103247027,1.0678269355888095,60.219679458569836,15.121932182265478,0.21985684266705757,0.2769649600932693,0.4483870967741818,0.5755473665806644,0.8075010349873348,1.0,1.0,1.5656839379017524,62.5,0.0,96.0,19.0,1.0,1.0,5.246260571984728,0.9130340490132294,0.04729284603054516,1.0179350414153423,0.0
2026-04-07T20:30:00+00:00,405,resistance,4669.76,up,true,0,4672.22,8.060755984637511,0.9977858387902201,61.38996054588892,29.26092691295376,0.17252518042038925,0.3045620044422219,0.9636510500807904,0.05582602932745326,2.0819332757492073,1.0,1.0,0.7852861458731509,29.166666666666668,2.0,50.0,20.0,1.0,0.0,4.020714690007741,0.9117319137576357,0.5349046193783898,2.389177210961185,0.0
2026-04-08T01:00:00+00:00,447,channel_upper,4725.6,up,fake,1,4744.4,11.218673585129645,1.2214688680710108,78.75286882076614,50.15080513752444,0.23646137731071676,1.6759753898543965,0.8435774751564229,0.28969556653362977,6.814543839305482,1.0,1.0,3.01639937584548,84.02777777777779,0.0,96.0,1.0,0.0,1.0,5.161037939168326,0.6100443386298157,1.2591720560836237,0.6141546010513244,0.0
2026-04-08T03:00:00+00:00,471,channel_upper,4837.56,up,fake,1,4846.09,14.525732451665126,1.21260400070809,79.94254381050783,57.3255002577896,0.2997412852766896,0.5869541853017636,0.5760073260073189,0.438532103024497,10.409996664589883,1.0,1.0,2.5740526423997436,95.13888888888889,0.0,96.0,3.0,0.0,1.0,8.403707035510383,0.8187289785802797,2.6436476272297527,3.8438216552560385,0.0
2026-04-08T17:30:00+00:00,645,channel_lower,4757.49,down,fake,1,4754.2,11.314645413305515,1.1354399933648502,33.066623656814684,16.080899429241832,0.23799262574787589,0.29084544745002266,0.7761194029850964,0.28635453270057293,-2.2501161462574166,0.0,1.0,2.78488621154189,78.125,0.0,96.0,17.0,1.0,1.0,4.0036605960915495,1.0536064803295457,0.6420025527282774,4.133345761735124,0.0
2026-04-08T21:40:00+00:00,695,channel_lower,4711.72,down,true,0,4709.48,8.412818844925889,1.1706697910564343,23.999819276822876,42.78438925250864,0.17863583336007138,0.2661371466282675,0.6333725029377426,0.13313016964289065,-6.8006293571189795,0.0,1.0,4.052149538505896,84.72222222222221,0.0,96.0,21.0,0.0,1.0,6.162024994900127,1.175551650068346,1.4508221879497616,9.427735630149954,0.0
2026-04-09T13:20:00+00:00,871,resistance,4732.43,up,true,0,4738.26,5.3620919059087555,1.1561420043983663,65.84465407925033,8.920056223819216,0.11316584370441377,1.0866405814950935,0.9163306451612983,0.0932471894875627,1.7818734716193367,1.0,1.0,1.799670757110062,2.083333333333333,3.0,136.0,13.0,1.0,0.0,2.402047601199636,0.9362236883443292,0.5092682818869602,3.6530792418040288,0.0
2026-04-09T13:45:00+00:00,876,channel_upper,4741.61,up,fake,1,4744.17,4.92675501654921,1.0439739413680782,72.29271442392296,13.925311791700663,0.10384861875837523,0.5195252295727995,0.662109375000078,0.052773072565383425,3.0230490575938984,1.0,1.0,3.0405408731877115,38.88888888888889,0.0,96.0,13.0,1.0,1.0,3.7326800172177066,1.0314875135722041,0.8567391544024288,5.04310534264926,0.0
2026-04-09T16:35:00+00:00,910,channel_upper,4762.9,up,true,0,4770.42,6.620509425972329,1.3266725034763351,75.09295756514989,19.901592598334197,0.1387825270305828,1.1363519812409535,0.9246196403872654,0.15406669402177062,5.421624015017281,1.0,1.0,3.143262649602544,75.34722222222221,0.0,96.0,16.0,1.0,1.0,3.8456255194079456,1.0602393091964086,0.7851321492181169,6.808493096443903,0.0
2026-04-09T18:55:00+00:00,938,channel_upper,4792.01,up,fake,1,4792.96,8.505136551964942,1.0023485992283174,65.23957903931985,27.133650053641936,0.17745060572099375,0.1116405909624373,0.5051975051974769,0.15637609012787188,5.757261157412959,1.0,1.0,1.6425368263808493,93.75,0.0,96.0,18.0,1.0,1.0,5.952873265544815,1.0437286808701,1.3281777969218547,6.823847407103668,0.0
