ts,idx,level_kind,level_price,direction,label,is_fake,close,atr_abs,vol_ratio,rsi14,adx14,atr_pct,pen_atr,body_ratio,wick_against_atr,dist_ema200_atr,ema50_side,with_ema200_trend,approach_speed_atr,bb_width_rank,touches,level_age_bars,hour_utc,ny_session,is_channel,prebreak_range_atr,vol_buildup,ema50_slope_atr,vwap_dist_atr,attempts
2026-03-18T11:20:00+00:00,294,channel_lower,23869.71,down,true,0,23859.2,24.479815295047874,2.06886182528943,45.718731273882874,36.912397993582566,0.10260115718485059,0.42939683025755837,0.4032258064516129,0.6535997027410868,3.811439580175776,0.0,0.0,-0.510624767766474,,0.0,96.0,11.0,0.0,1.0,5.08173768881186,1.9816568937001955,-0.09632733614599923,-2.3398820319553764,0.0
2026-03-18T14:25:00+00:00,331,channel_lower,23878.7,down,fake,1,23843.0,27.514589620227532,3.18716854223257,35.16460615695671,19.461491015222236,0.115399025375278,1.2976625926086804,0.9484536082474226,0.07268870906690489,1.2544152346412778,0.0,0.0,2.0352838538733367,61.458333333333336,0.0,96.0,14.0,1.0,1.0,2.9438927172096476,0.8131763894278445,-0.36981077861621764,0.14692825587847191,0.0
2026-03-18T20:50:00+00:00,408,channel_upper,23521.88,up,fake,1,23526.0,26.29802277758274,0.548836263847952,52.76159279142301,21.477848326532527,0.11178280531149681,0.15667521637621712,0.40000000000004693,0.12548471905698919,-5.902782577797283,0.0,0.0,0.36884902268277414,36.80555555555556,0.0,96.0,20.0,1.0,1.0,2.9165690762646315,0.815801063793746,-0.9852656036202441,-6.016084258886024,0.0
2026-03-18T23:10:00+00:00,436,channel_lower,23234.68,down,true,0,23211.0,30.721592640740297,0.4332062842800037,14.599297339597726,55.90301965921692,0.13235790203239972,0.7706996061761388,0.8028169014084507,0.048825593696950165,-12.844317802413096,0.0,1.0,1.9692989457769898,95.48611111111111,0.0,96.0,23.0,0.0,1.0,9.960421114177834,0.6532180595581172,2.791575506976252,14.043908306315911,0.0
2026-03-19T03:40:00+00:00,478,support,23113.45,down,fake,1,23085.3,22.548625026496243,0.33978132884777124,30.52624406664981,24.450985161556687,0.09767525233155404,1.2484131501110687,0.9512195121951219,0.06652290320307305,-16.09605543918328,0.0,1.0,3.915981568554201,48.95833333333333,2.0,26.0,3.0,0.0,0.0,3.405972643997469,0.3644519203812728,1.3940131310973054,3.0089449550142473,0.0
2026-03-19T04:20:00+00:00,486,channel_upper,23156.21,up,true,0,23168.8,22.25182976077201,0.5620262525420595,56.902770108885015,21.58564850282963,0.09604221953995033,0.5656667098384893,0.7142857142857143,0.33705093381677,-11.471775544175072,0.0,0.0,1.954895416137266,57.291666666666664,0.0,96.0,4.0,0.0,1.0,4.947907708430281,0.33770875700992176,-1.3340936981322316,0.7897161076224819,0.0
2026-03-19T07:45:00+00:00,527,support,23113.45,down,fake,1,23097.8,18.22234877980892,1.4954577218728162,20.10151886118831,35.115146378214746,0.07889214028959002,0.8588354986017099,0.7818181818181819,0.16463300292683003,-13.9391028291745,0.0,1.0,3.5121707291057076,81.94444444444444,2.0,75.0,7.0,0.0,0.0,8.176772478699226,0.9503843466107618,1.1439176630908598,3.888095259730911,1.0
2026-03-19T09:50:00+00:00,552,support,23113.45,down,true,0,23097.8,26.285023708216006,1.2163416898792943,43.685120189554844,26.128608807403214,0.11379881940364886,0.5953960770105632,0.8064516129032258,0.2282668665854982,-7.637308961830619,0.0,1.0,1.8641794104482352,43.05555555555556,2.0,100.0,9.0,0.0,0.0,3.652269865367971,1.080160940885175,0.7242558904036076,2.3275476152411656,2.0
2026-03-19T12:25:00+00:00,583,channel_lower,22936.99,down,fake,1,22900.4,60.371557379959775,1.3020611229566454,31.00584833433095,34.57667005250575,0.263626650102006,0.6061102351458122,0.5880420499342942,0.8397994386812108,-5.544427662537908,0.0,1.0,0.977281398070823,95.13888888888889,0.0,96.0,12.0,0.0,1.0,4.464022657289607,0.9599620942904525,0.9433648237066945,3.2040917297944453,0.0
2026-03-19T16:50:00+00:00,636,channel_upper,22891.24,up,fake,1,22964.9,53.58789256719979,1.2309395601630517,62.94869851057851,23.31145026604849,0.2333469449777695,1.3746549332035167,0.8587570621468926,0.0466523291033506,-2.4085215075605997,1.0,0.0,3.051062323359129,69.79166666666666,0.0,96.0,16.0,1.0,1.0,3.9934393712468115,1.6291748444131315,-0.6327372225517447,-0.5043611699071477,0.0
