ts,o,h,l,c,v
1782307800,29337.033203125,29533.306640625,29231.169921875,29396.40625,243962959.0
1782309600,29514.5,29585.1,29456.2,29582.0,11394.0
1782311400,29399.755859375,29591.978515625,29399.755859375,29491.587890625,158373792.0
1782313200,29582.0,29593.2,29473.3,29483.2,11825.0
1782315000,29492.3203125,29514.6015625,29404.50390625,29449.474609375,113311367.0
1782316800,29484.2,29561.6,29285.7,29406.2,15788.0
1782318600,29442.892578125,29442.892578125,29103.498046875,29110.060546875,121086374.0
1782320400,29413.6,29613.4,29247.6,29611.2,16913.0
1782322200,29109.529296875,29250.28125,29066.59765625,29232.515625,135154990.0
1782324000,29614.0,29626.9,29421.2,29477.2,16290.0
1782325800,29235.220703125,29244.09375,28963.1015625,29081.017578125,147594373.0
1782327600,29476.9,29525.0,29317.1,29327.1,15817.0
1782329400,29084.7734375,29229.25390625,29057.525390625,29229.25390625,129986118.0
1782331200,29327.0,29381.6,29086.6,29109.1,16281.0
1782334800,29112.5,29283.4,29045.7,29066.0,16239.0
1782338400,29070.0,29247.9,28987.2,29235.9,16334.0
1782342000,29236.1,29877.1,29209.0,29809.4,14896.0
1782345600,29745.8,29830.0,29742.1,29790.4,8370.0
1782349200,29827.3,29891.9,29771.7,29775.6,8948.0
1782352800,29775.3,29859.8,29771.9,29820.3,8151.0
1782356400,29820.4,29825.3,29661.3,29690.6,14025.0
1782360000,29691.2,29755.1,29675.7,29722.2,13819.0
1782363600,29722.1,29744.4,29649.2,29722.7,11754.0
1782367200,29722.4,29768.8,29707.3,29757.9,10617.0
1782370800,29759.2,29787.6,29722.7,29764.8,9591.0
1782374400,29764.9,29845.6,29764.3,29813.4,10204.0
1782378000,29813.9,29855.7,29802.2,29829.9,9541.0
1782381600,29830.5,29910.5,29830.5,29905.5,9797.0
1782385200,29905.5,29942.3,29834.9,29844.5,10108.0
1782388800,29844.7,29881.8,29837.5,29856.4,8900.0
1782392400,29856.2,29909.3,29849.3,29883.8,8625.0
1782394200,29818.224609375,29826.234375,29000.5546875,29296.7890625,0.0
1782396000,29883.8,29917.0,29823.7,29855.0,10733.0
1782397800,29286.568359375,29466.998046875,29170.115234375,29298.396484375,178223786.0
1782399600,29855.3,29985.5,29842.0,29926.2,12379.0
1782401400,29307.611328125,29558.962890625,29307.611328125,29462.67578125,132699935.0
1782403200,29926.2,29938.2,29021.9,29043.7,15412.0
1782405000,29463.662109375,29499.220703125,29287.654296875,29460.84375,124246658.0
1782406800,29044.7,29499.7,29035.9,29358.4,17296.0
1782408600,29463.185546875,29580.294921875,29383.419921875,29568.36328125,116929410.0
1782410400,29360.6,29486.6,29188.7,29384.9,16841.0
1782412200,29568.666015625,29568.666015625,29323.556640625,29382.1796875,132099124.0
1782414000,29385.9,29594.3,29311.3,29405.7,16493.0
1782415800,29379.708984375,29426.845703125,29316.736328125,29426.845703125,145013000.0
1782417600,29406.6,29535.2,29396.7,29518.9,16058.0
1782421200,29519.9,29614.7,29404.7,29498.3,16290.0
1782424800,29501.4,29501.4,29340.4,29473.7,16239.0
1782428400,29473.9,29642.6,29473.9,29486.2,10244.0
1782435600,29468.0,29487.9,29334.5,29406.0,8915.0
1782439200,29406.0,29619.1,29395.0,29432.9,10216.0
1782442800,29433.5,29498.8,29344.9,29362.6,15207.0
1782446400,29364.1,29403.8,29190.3,29220.3,14104.0
1782450000,29225.4,29232.5,28958.5,28992.6,13438.0
1782453600,28993.5,29096.5,28889.9,29093.1,13496.0
1782457200,29093.4,29112.5,28980.3,28997.5,12899.0
1782460800,28997.8,29136.9,28983.4,29053.6,12829.0
1782464400,29053.0,29262.7,29017.2,29230.2,12065.0
1782468000,29234.2,29290.4,29163.1,29254.5,10858.0
1782471600,29254.4,29284.9,29092.0,29126.6,11437.0
1782475200,29126.7,29171.9,29072.2,29098.5,10909.0
1782478800,29098.4,29127.0,29046.7,29089.2,9651.0
1782480600,29019.47265625,29353.037109375,28894.775390625,29288.88671875,0.0
1782482400,29089.2,29152.7,29032.6,29078.1,10894.0
1782484200,29296.625,29313.796875,29121.232421875,29291.181640625,178383694.0
1782486000,29078.1,29176.4,29026.5,29043.0,12359.0
1782487800,29303.71484375,29413.802734375,29206.37890625,29262.19140625,158070831.0
1782489600,29042.9,29191.3,28910.9,29171.5,15780.0
1782491400,29267.611328125,29396.099609375,29267.611328125,29338.001953125,120993712.0
1782493200,29172.5,29390.9,29155.8,29231.4,16932.0
1782495000,29341.43359375,29372.53515625,29163.876953125,29169.41796875,122525654.0
1782496800,29229.6,29442.9,29137.4,29347.9,16529.0
1782498600,29170.587890625,29210.212890625,29098.22265625,29156.599609375,155095074.0
1782500400,29348.9,29372.0,29222.6,29339.5,16004.0
