ts,o,h,l,c,v
1782288000,29505.6,29582.9,29500.1,29555.6,6720.0
1782289800,29556.2,29604.6,29533.7,29540.4,6140.0
1782291600,29540.7,29572.3,29518.5,29535.0,6190.0
1782293400,29536.8,29585.2,29532.2,29544.2,4953.0
1782295200,29543.7,29561.1,29506.2,29514.2,6255.0
1782297000,29514.2,29556.1,29484.1,29491.0,5859.0
1782298800,29492.0,29584.3,29484.1,29559.0,6310.0
1782300600,29559.5,29587.5,29524.8,29539.8,5312.0
1782302400,29539.0,29564.3,29514.6,29528.0,5491.0
1782304200,29527.8,29535.0,29475.2,29529.8,5285.0
1782306000,29529.5,29541.8,29495.7,29537.6,4940.0
1782307800,29537.6,29572.2,29509.5,29514.5,4765.0
1782309600,29514.5,29545.7,29456.2,29475.2,5540.0
1782311400,29475.5,29585.1,29472.5,29582.0,5854.0
1782313200,29582.0,29593.2,29544.1,29572.6,5998.0
1782315000,29572.6,29585.6,29473.3,29483.2,5827.0
1782316800,29484.2,29510.3,29413.3,29433.0,7176.0
1782318600,29432.7,29561.6,29285.7,29406.2,8612.0
1782320400,29413.6,29451.7,29247.6,29425.9,8542.0
1782322200,29426.0,29613.4,29424.6,29611.2,8371.0
1782324000,29614.0,29626.9,29425.2,29522.4,8194.0
1782325800,29520.7,29548.0,29421.2,29477.2,8096.0
1782327600,29476.9,29525.0,29453.0,29474.4,7850.0
1782329400,29473.9,29474.2,29317.1,29327.1,7967.0
1782331200,29327.0,29381.6,29124.7,29131.5,8011.0
1782333000,29134.4,29185.2,29086.6,29109.1,8270.0
1782334800,29112.5,29283.4,29098.9,29260.2,8159.0
1782336600,29260.2,29276.4,29045.7,29066.0,8080.0
1782338400,29070.0,29133.5,28987.2,29105.1,8155.0
1782340200,29108.9,29247.9,29078.2,29235.9,8179.0
1782342000,29236.1,29749.7,29209.0,29730.5,8016.0
1782343800,29730.4,29877.1,29687.2,29809.4,6880.0
1782349200,29827.3,29891.9,29778.8,29781.9,5125.0
1782351000,29782.1,29804.3,29771.7,29775.6,3823.0
1782352800,29775.3,29820.4,29771.9,29801.4,3587.0
1782354600,29801.4,29859.8,29799.8,29820.3,4564.0
1782356400,29820.4,29825.3,29750.9,29760.1,7003.0
1782358200,29759.8,29765.4,29661.3,29690.6,7022.0
1782360000,29691.2,29719.4,29675.7,29689.3,7112.0
1782361800,29689.9,29755.1,29684.6,29722.2,6707.0
1782363600,29722.1,29744.4,29649.2,29709.6,6381.0
1782365400,29709.6,29726.4,29690.2,29722.7,5373.0
1782367200,29722.4,29762.6,29707.3,29749.3,5553.0
1782369000,29749.1,29768.8,29724.4,29757.9,5064.0
1782370800,29759.2,29768.3,29736.6,29743.6,4788.0
1782372600,29743.6,29787.6,29722.7,29764.8,4803.0
1782374400,29764.9,29821.6,29764.3,29817.7,4987.0
1782376200,29817.3,29845.6,29807.2,29813.4,5217.0
1782378000,29813.9,29855.7,29802.2,29835.2,5127.0
1782379800,29834.2,29844.3,29823.0,29829.9,4414.0
1782381600,29830.5,29910.5,29830.5,29896.2,5116.0
1782383400,29896.0,29905.9,29873.7,29905.5,4681.0
1782385200,29905.5,29942.3,29881.9,29893.7,5340.0
1782387000,29894.2,29907.4,29834.9,29844.5,4768.0
1782388800,29844.7,29875.8,29837.5,29861.8,4703.0
1782390600,29862.0,29881.8,29853.5,29856.4,4197.0
1782392400,29856.2,29893.4,29849.3,29888.2,4256.0
1782394200,29888.2,29909.3,29864.5,29883.8,4369.0
1782396000,29883.8,29917.0,29834.0,29841.2,5365.0
1782397800,29841.0,29874.5,29823.7,29855.0,5368.0
1782399600,29855.3,29905.8,29842.0,29856.0,5426.0
1782401400,29855.3,29985.5,29851.3,29926.2,6953.0
1782403200,29926.2,29938.2,29855.9,29875.9,6732.0
1782405000,29873.9,29914.7,29021.9,29043.7,8680.0
1782406800,29044.7,29414.1,29035.9,29311.1,8717.0
1782408600,29311.2,29499.7,29287.2,29358.4,8579.0
1782410400,29360.6,29468.9,29188.7,29338.1,8499.0
1782412200,29341.2,29486.6,29330.9,29384.9,8342.0
1782414000,29385.9,29594.3,29369.3,29488.9,8287.0
1782415800,29488.1,29490.6,29311.3,29405.7,8206.0
1782417600,29406.6,29535.2,29396.7,29489.6,8015.0
1782419400,29488.8,29527.3,29406.7,29518.9,8043.0
1782421200,29519.9,29614.7,29404.7,29602.4,8234.0
1782423000,29600.9,29601.7,29428.2,29498.3,8056.0
1782424800,29501.4,29501.4,29351.3,29406.9,8107.0
1782426600,29407.7,29473.7,29340.4,29473.7,8132.0
1782428400,29473.9,29642.6,29473.9,29543.6,6503.0
1782430200,29543.7,29547.7,29477.7,29486.2,3741.0
1782435600,29468.0,29487.9,29344.0,29344.4,4969.0
1782437400,29345.1,29414.5,29334.5,29406.0,3946.0
