Date,Close
2020-07-06,2046.81005859375
2020-07-07,2019.77001953125
2020-07-08,2049.760009765625
2020-07-09,2076.719970703125
2020-07-10,2069.7900390625
2020-07-13,2034.1400146484375
2020-07-14,2069.7900390625
2020-07-15,2064.169921875
2020-07-16,2055.919921875
2020-07-17,2068.989990234375
2020-07-20,2110.469970703125
2020-07-21,2096.590087890625
2020-07-22,2105.429931640625
2020-07-23,2070.969970703125
2020-07-24,2038.7099609375
2020-07-27,2104.6201171875
2020-07-28,2060.39990234375
2020-07-29,2106.300048828125
2020-07-30,2147.550048828125
2020-07-31,2136.409912109375
2020-08-03,2177.27001953125
2020-08-04,2209.81005859375
2020-08-05,2207.56005859375
2020-08-06,2204.93994140625
2020-08-07,2178.860107421875
2020-08-10,2179.60009765625
2020-08-11,2154.7900390625
2020-08-12,2227.219970703125
2020-08-13,2202.409912109375
2020-08-14,2200.81005859375
2020-08-17,2227.610107421875
2020-08-18,2214.659912109375
2020-08-19,2200.77001953125
2020-08-20,2181.0400390625
2020-08-21,2198.330078125
2020-08-24,2219.3701171875
2020-08-25,2243.06005859375
2020-08-26,2250.22998046875
2020-08-27,2220.14990234375
2020-08-28,2264.139892578125
2020-08-31,2260.429931640625
2020-09-01,2304.679931640625
2020-09-02,2370.179931640625
2020-09-03,2234.22998046875
2020-09-04,2212.72998046875
2020-09-08,2108.610107421875
2020-09-09,2169.610107421875
2020-09-10,2137.780029296875
2020-09-11,2136.3701171875
2020-09-14,2181.75
2020-09-15,2219.18994140625
2020-09-16,2195.5400390625
2020-09-17,2194.14990234375
2020-09-18,2160.969970703125
2020-09-21,2154.280029296875
2020-09-22,2180.260009765625
2020-09-23,2126.68994140625
2020-09-24,2147.419921875
2020-09-25,2177.840087890625
2020-09-28,2237.639892578125
2020-09-29,2242.52001953125
2020-09-30,2244.1201171875
2020-10-01,2291.77001953125
2020-10-02,2221.1201171875
2020-10-05,2295.56005859375
2020-10-06,2281.090087890625
2020-10-07,2328.840087890625
2020-10-08,2356.159912109375
2020-10-09,2398.0400390625
2020-10-12,2433.47998046875
2020-10-13,2430.1298828125
2020-10-14,2417.199951171875
2020-10-15,2411.1298828125
2020-10-16,2399.760009765625
