Date,Close
2020-07-06,123.66000366210938
2020-07-07,123.69000244140625
2020-07-08,123.47000122070312
2020-07-09,123.79000091552734
2020-07-10,123.66000366210938
2020-07-13,123.93000030517578
2020-07-14,123.94999694824219
2020-07-15,123.87999725341797
2020-07-16,124.12999725341797
2020-07-17,124.36000061035156
2020-07-20,124.52999877929688
2020-07-21,124.80999755859375
2020-07-22,124.80999755859375
2020-07-23,124.87000274658203
2020-07-24,124.83999633789062
2020-07-27,124.83999633789062
2020-07-28,125.06999969482422
2020-07-29,125.36000061035156
2020-07-30,125.48999786376953
2020-07-31,125.86000061035156
2020-08-03,126.02999877929688
2020-08-04,126.30999755859375
2020-08-05,126.37000274658203
2020-08-06,126.51000213623047
2020-08-07,126.16999816894531
2020-08-10,126.0199966430664
2020-08-11,125.73999786376953
2020-08-12,125.81999969482422
2020-08-13,125.5
2020-08-14,125.29000091552734
2020-08-17,125.55999755859375
2020-08-18,126.12000274658203
2020-08-19,125.73999786376953
2020-08-20,125.62000274658203
2020-08-21,126.05000305175781
2020-08-24,126.30000305175781
2020-08-25,126.26000213623047
2020-08-26,126.51000213623047
2020-08-27,126.01000213623047
2020-08-28,126.41000366210938
2020-08-31,126.9800033569336
2020-09-01,127.05000305175781
2020-09-02,127.0999984741211
2020-09-03,126.66000366210938
2020-09-04,126.2699966430664
2020-09-08,126.38999938964844
2020-09-09,126.45999908447266
2020-09-10,126.56999969482422
2020-09-11,126.5
2020-09-14,126.41999816894531
2020-09-15,126.51000213623047
2020-09-16,126.51000213623047
2020-09-17,126.58000183105469
2020-09-18,126.47000122070312
2020-09-21,126.23999786376953
2020-09-22,126.27999877929688
2020-09-23,126.1500015258789
2020-09-24,126.23999786376953
2020-09-25,126.41000366210938
2020-09-28,126.66999816894531
2020-09-29,126.87999725341797
2020-09-30,126.5
2020-10-01,126.05999755859375
2020-10-02,126.08000183105469
2020-10-05,125.69999694824219
2020-10-06,125.72000122070312
2020-10-07,125.70999908447266
