ts,open,high,low,close
1781485200,29981.7,30033.4,29957.4,30028.1
1781485260,30028.1,30040.3,29979.2,30025.5
1781485320,30025.8,30037.6,29994.4,29999.3
1781485380,29999.2,30020.1,29985.1,29993.3
1781485440,29993.2,30024.3,29961.9,30021.7
1781485500,30021.8,30073.8,30019.6,30047.2
1781485560,30047.4,30061.7,30046.7,30058.6
1781485620,30058.4,30059.8,30034.8,30036.2
1781485680,30036.1,30058.2,30029.3,30056.8
1781485740,30056.8,30078.3,30054.2,30065.9
1781485800,30065.8,30075.1,30064.3,30068.1
1781485860,30067.9,30072.8,30063.6,30064.9
1781485920,30064.9,30067.1,30063.8,30064.1
1781485980,30064.8,30065.6,30044.3,30061.9
1781486040,30060.3,30062.7,30046.7,30053.9
1781486100,30053.6,30055.2,30026.3,30038.6
1781486160,30038.6,30039.2,30022.8,30032.6
1781486220,30032.8,30033.4,30018.2,30019.1
1781486280,30019.1,30060.9,30018.4,30057.1
1781486340,30057.2,30067.1,30053.3,30066.6
1781486400,30066.7,30067.7,30054.8,30064.6
1781486460,30064.3,30071.6,30057.8,30071.4
1781486520,30071.3,30085.7,30067.7,30077.3
1781486580,30077.2,30085.2,30074.9,30085.2
1781486640,30085.1,30087.1,30070.4,30072.3
1781486700,30072.1,30072.1,30048.3,30063.8
1781486760,30063.7,30079.2,30050.2,30050.4
1781486820,30050.4,30051.6,30030.4,30038.7
1781486880,30038.7,30065.2,30038.6,30052.6
1781486940,30052.6,30059.7,30045.1,30049.3
1781487000,30048.2,30057.6,30040.3,30056.9
1781487060,30056.9,30067.7,30044.1,30044.1
1781487120,30044.2,30046.3,30029.7,30031.4
1781487180,30031.4,30038.7,30012.2,30016.4
1781487240,30014.1,30039.7,30006.7,30034.6
1781487300,30034.6,30038.9,30024.3,30031.7
1781487360,30031.7,30039.3,30031.2,30034.3
1781487420,30034.3,30039.1,30034.2,30038.6
1781487480,30038.6,30043.7,30036.6,30043.3
1781487540,30043.3,30043.7,30024.4,30029.6
1781487600,30029.8,30041.8,30010.6,30038.7
1781487660,30038.9,30041.9,30032.9,30039.9
1781487720,30040.1,30042.2,30035.8,30038.6
1781487780,30038.6,30038.9,30029.8,30035.4
1781487840,30035.4,30035.6,30021.8,30028.6
1781487900,30028.6,30036.4,30020.9,30033.4
1781487960,30032.7,30034.3,30023.8,30027.3
1781488020,30027.8,30038.1,30022.4,30035.3
1781488080,30035.3,30049.1,30035.2,30039.9
1781488140,30039.8,30054.3,30034.1,30054.3
1781488200,30055.4,30065.8,30048.2,30051.7
1781488260,30052.6,30063.4,30052.6,30054.1
1781488320,30054.2,30060.2,30051.7,30058.8
1781488380,30058.9,30061.8,30056.2,30056.3
1781488440,30056.3,30057.3,30045.8,30055.2
1781488500,30055.1,30058.2,30049.9,30054.3
1781488560,30054.2,30062.7,30054.1,30055.4
1781488620,30055.6,30056.9,30048.4,30049.1
1781488680,30049.1,30061.2,30049.1,30053.3
1781488740,30053.4,30054.1,30043.7,30043.8
1781488800,30044.3,30059.8,30043.9,30055.7
1781488860,30056.2,30063.2,30050.2,30050.2
1781488920,30049.9,30050.3,30035.4,30042.4
1781488980,30042.4,30042.4,30034.4,30037.9
1781489040,30037.1,30041.1,30034.7,30038.7
1781489100,30038.7,30049.9,30031.3,30032.4
1781489160,30032.4,30035.9,30029.8,30030.2
1781489220,30030.1,30030.2,30015.1,30019.3
1781489280,30019.2,30026.3,30015.6,30020.9
1781489340,30020.9,30026.2,30014.2,30020.8
1781489400,30020.9,30028.7,30014.6,30021.9
1781489460,30022.1,30029.3,30020.6,30024.4
1781489520,30024.6,30027.4,30018.3,30021.8
1781489580,30021.6,30021.6,30014.4,30015.1
1781489640,30015.1,30020.6,30014.2,30016.2
1781489700,30016.2,30016.2,30003.3,30012.6
1781489760,30012.6,30023.7,30010.1,30020.7
1781489820,30020.6,30020.9,30015.7,30019.7
1781489880,30019.7,30020.8,30003.6,30003.9
1781489940,30003.8,30005.1,29996.1,30000.6
1781490000,30000.8,30003.3,29994.8,30002.8
1781490060,30002.8,30003.1,29983.4,29989.2
1781490120,29989.2,30007.6,29985.2,30007.3
1781490180,30007.3,30012.7,30003.4,30009.9
1781490240,30009.9,30027.4,30007.4,30022.7
1781490300,30021.3,30040.8,30017.9,30028.8
1781490360,30028.8,30029.2,30015.9,30016.6
1781490420,30016.4,30026.8,30011.2,30026.1
1781490480,30026.1,30030.8,30023.4,30025.1
1781490540,30025.1,30030.9,30024.6,30028.4
1781490600,30028.4,30040.9,30025.6,30035.2
1781490660,30035.9,30040.6,30029.1,30034.8
1781490720,30034.8,30039.8,30030.9,30034.1
1781490780,30034.7,30039.6,30032.1,30036.3
1781490840,30036.7,30038.1,30032.8,30035.1
1781490900,30034.9,30040.8,30033.6,30040.1
1781490960,30040.1,30046.4,30040.1,30042.7
1781491020,30042.6,30043.3,30040.6,30040.9
1781491080,30040.8,30045.8,30040.7,30045.6
1781491140,30045.6,30047.7,30041.7,30042.9
1781491200,30042.8,30042.9,30032.2,30034.2
1781491260,30034.6,30044.7,30033.3,30043.3
1781491320,30043.3,30049.7,30043.2,30047.8
1781491380,30048.1,30052.3,30044.9,30046.8
1781491440,30046.8,30048.3,30034.7,30036.6
1781491500,30036.9,30036.9,30012.4,30023.4
1781491560,30023.6,30037.3,30020.3,30034.7
1781491620,30034.2,30038.7,30024.7,30028.9
1781491680,30029.1,30035.6,30026.6,30029.3
1781491740,30029.2,30032.3,30022.7,30024.8
1781491800,30026.4,30027.2,30014.8,30014.9
1781491860,30015.3,30026.8,30015.3,30024.6
1781491920,30024.4,30037.8,30024.2,30036.6
1781491980,30036.6,30041.1,30019.9,30022.6
1781492040,30022.2,30037.2,30021.9,30031.7
1781492100,30033.9,30044.7,30031.4,30041.6
1781492160,30041.6,30047.4,30036.4,30046.9
1781492220,30046.9,30053.1,30042.7,30045.3
1781492280,30045.6,30046.3,30031.1,30040.7
1781492340,30039.4,30048.1,30030.3,30046.7
1781492400,30047.1,30062.8,30037.1,30061.3
1781492460,30061.4,30089.8,30059.2,30085.8
1781492520,30085.9,30092.4,30078.2,30078.2
1781492580,30078.2,30089.4,30075.7,30086.2
1781492640,30086.2,30090.6,30082.2,30086.1
1781492700,30086.2,30091.7,30085.4,30087.6
1781492760,30087.6,30087.6,30065.2,30078.8
1781492820,30078.8,30103.3,30078.4,30101.4
1781492880,30101.6,30106.2,30092.9,30098.2
1781492940,30098.1,30118.3,30095.2,30114.1
1781493000,30114.1,30136.3,30114.1,30129.9
1781493060,30129.9,30140.1,30129.7,30131.7
1781493120,30131.7,30140.4,30122.8,30138.9
1781493180,30138.1,30151.1,30138.1,30149.7
