time_utc,open,high,low,close,tick_volume,spread,real_volume
2026-06-25T17:41:00+00:00,25096.4,25104.4,25092.4,25100.4,94,9,0
2026-06-25T17:42:00+00:00,25100.4,25102.4,25093.4,25098.4,79,9,0
2026-06-25T17:43:00+00:00,25098.4,25098.4,25073.4,25073.4,104,9,0
2026-06-25T17:44:00+00:00,25073.4,25078.4,25070.4,25074.4,98,9,0
2026-06-25T17:45:00+00:00,25074.4,25078.4,25055.4,25056.4,103,9,0
2026-06-25T17:46:00+00:00,25055.4,25062.4,25051.4,25051.4,107,9,0
2026-06-25T17:47:00+00:00,25051.4,25058.4,25049.4,25056.4,74,9,0
2026-06-25T17:48:00+00:00,25057.4,25071.4,25053.4,25071.4,97,9,0
2026-06-25T17:49:00+00:00,25071.4,25076.4,25068.4,25072.4,99,9,0
2026-06-25T17:50:00+00:00,25071.4,25082.4,25069.4,25080.4,82,9,0
2026-06-25T17:51:00+00:00,25078.4,25094.4,25076.4,25094.4,84,9,0
2026-06-25T17:52:00+00:00,25094.4,25096.4,25084.4,25095.4,88,9,0
2026-06-25T17:53:00+00:00,25095.4,25098.4,25085.4,25088.4,76,9,0
2026-06-25T17:54:00+00:00,25089.4,25098.4,25087.4,25096.4,84,9,0
2026-06-25T17:55:00+00:00,25096.4,25099.4,25085.4,25085.4,89,9,0
2026-06-25T17:56:00+00:00,25086.4,25090.4,25081.4,25087.4,91,9,0
2026-06-25T17:57:00+00:00,25087.4,25088.4,25066.4,25067.4,95,9,0
2026-06-25T17:58:00+00:00,25067.4,25083.4,25067.4,25077.4,65,9,0
2026-06-25T17:59:00+00:00,25076.4,25083.4,25072.4,25079.4,85,9,0
2026-06-25T18:00:00+00:00,25080.4,25083.4,25070.4,25080.4,89,9,0
2026-06-25T18:01:00+00:00,25080.4,25082.4,25071.4,25071.4,86,9,0
2026-06-25T18:02:00+00:00,25071.4,25072.4,25062.4,25072.4,73,9,0
2026-06-25T18:03:00+00:00,25072.4,25074.4,25065.4,25070.4,80,9,0
2026-06-25T18:04:00+00:00,25070.4,25090.4,25070.4,25089.4,73,9,0
2026-06-25T18:05:00+00:00,25089.4,25096.4,25067.4,25074.4,133,9,0
2026-06-25T18:06:00+00:00,25074.4,25078.4,25059.4,25059.4,110,9,0
2026-06-25T18:07:00+00:00,25060.4,25061.4,25045.4,25046.4,111,9,0
2026-06-25T18:08:00+00:00,25045.4,25054.4,25044.4,25050.4,85,9,0
2026-06-25T18:09:00+00:00,25050.4,25050.4,25036.4,25042.4,70,9,0
2026-06-25T18:10:00+00:00,25042.4,25042.4,25029.4,25035.4,86,9,0
2026-06-25T18:11:00+00:00,25035.4,25035.4,25016.4,25018.4,93,9,0
2026-06-25T18:12:00+00:00,25018.4,25024.4,25001.4,25004.4,87,9,0
2026-06-25T18:13:00+00:00,25004.4,25012.4,25004.4,25009.4,91,9,0
2026-06-25T18:14:00+00:00,25011.4,25012.4,25001.4,25007.4,103,9,0
2026-06-25T18:15:00+00:00,25005.4,25006.4,24989.4,24994.4,124,9,0
2026-06-25T18:16:00+00:00,24994.4,24996.4,24983.4,24989.4,131,9,0
