time_utc,open,high,low,close,tick_volume,spread,real_volume
2026-06-25T17:41:00+00:00,29421.3,29428.6,29384.2,29392.3,285,10,0
2026-06-25T17:42:00+00:00,29392.9,29392.9,29354.7,29359.8,286,10,0
2026-06-25T17:43:00+00:00,29359.8,29373.3,29320.2,29325.1,281,10,0
2026-06-25T17:44:00+00:00,29325.4,29343.6,29288.8,29328.6,286,10,0
2026-06-25T17:45:00+00:00,29328.9,29346.1,29287.2,29320.9,288,10,0
2026-06-25T17:46:00+00:00,29319.6,29335.3,29302.1,29306.8,281,10,0
2026-06-25T17:47:00+00:00,29306.9,29333.8,29298.4,29320.9,284,10,0
2026-06-25T17:48:00+00:00,29321.4,29374.9,29321.1,29374.9,293,10,0
2026-06-25T17:49:00+00:00,29378.6,29408.2,29377.8,29396.3,292,10,0
2026-06-25T17:50:00+00:00,29392.6,29421.3,29371.1,29380.2,290,10,0
2026-06-25T17:51:00+00:00,29379.7,29461.8,29371.8,29453.6,288,10,0
2026-06-25T17:52:00+00:00,29452.4,29496.6,29447.6,29490.3,289,10,0
2026-06-25T17:53:00+00:00,29490.1,29494.7,29450.3,29463.3,279,10,0
2026-06-25T17:54:00+00:00,29465.7,29499.7,29463.7,29495.7,277,10,0
2026-06-25T17:55:00+00:00,29495.1,29495.1,29459.9,29471.6,281,10,0
2026-06-25T17:56:00+00:00,29468.7,29477.7,29441.2,29443.3,283,10,0
2026-06-25T17:57:00+00:00,29443.2,29444.9,29340.8,29348.2,291,10,0
2026-06-25T17:58:00+00:00,29347.2,29384.4,29337.6,29341.1,286,10,0
2026-06-25T17:59:00+00:00,29338.1,29389.4,29338.1,29358.4,287,10,0
2026-06-25T18:00:00+00:00,29360.6,29371.7,29332.6,29371.6,285,10,0
2026-06-25T18:01:00+00:00,29370.3,29411.2,29366.3,29378.6,290,10,0
2026-06-25T18:02:00+00:00,29383.2,29421.9,29367.7,29421.6,287,10,0
2026-06-25T18:03:00+00:00,29420.6,29420.6,29382.7,29400.3,277,10,0
2026-06-25T18:04:00+00:00,29401.2,29455.3,29398.4,29451.9,284,10,0
2026-06-25T18:05:00+00:00,29451.7,29468.9,29384.9,29395.4,289,10,0
2026-06-25T18:06:00+00:00,29395.8,29410.4,29356.4,29380.2,280,10,0
2026-06-25T18:07:00+00:00,29380.2,29388.3,29358.4,29376.6,284,10,0
2026-06-25T18:08:00+00:00,29376.6,29400.8,29364.7,29374.6,280,10,0
2026-06-25T18:09:00+00:00,29374.6,29387.3,29349.4,29367.9,286,10,0
2026-06-25T18:10:00+00:00,29368.4,29383.2,29355.3,29376.7,283,10,0
2026-06-25T18:11:00+00:00,29377.4,29377.4,29306.7,29320.3,280,10,0
2026-06-25T18:12:00+00:00,29321.7,29331.3,29270.7,29276.9,288,10,0
2026-06-25T18:13:00+00:00,29275.3,29286.1,29251.7,29259.9,281,10,0
2026-06-25T18:14:00+00:00,29264.4,29272.6,29237.4,29257.4,291,10,0
2026-06-25T18:15:00+00:00,29259.6,29259.6,29188.7,29211.9,281,10,0
2026-06-25T18:16:00+00:00,29213.4,29226.1,29194.4,29224.7,288,10,0
2026-06-25T18:17:00+00:00,29225.1,29269.2,29219.8,29256.6,286,10,0
2026-06-25T18:18:00+00:00,29255.6,29306.8,29251.3,29285.9,274,10,0
2026-06-25T18:19:00+00:00,29285.9,29332.9,29277.9,29315.3,285,10,0
2026-06-25T18:20:00+00:00,29313.8,29318.6,29267.7,29282.4,288,10,0
2026-06-25T18:21:00+00:00,29283.3,29344.4,29283.1,29344.4,283,10,0
2026-06-25T18:22:00+00:00,29344.1,29352.4,29322.1,29339.8,283,10,0
2026-06-25T18:23:00+00:00,29339.7,29363.6,29330.4,29343.9,286,10,0
2026-06-25T18:24:00+00:00,29344.2,29391.4,29343.4,29369.6,290,10,0
2026-06-25T18:25:00+00:00,29369.3,29369.3,29334.6,29334.6,290,10,0
2026-06-25T18:26:00+00:00,29336.4,29345.8,29308.6,29340.6,283,10,0
2026-06-25T18:27:00+00:00,29340.6,29368.6,29329.6,29351.8,275,10,0
2026-06-25T18:28:00+00:00,29353.1,29356.3,29319.6,29342.2,266,10,0
2026-06-25T18:29:00+00:00,29342.8,29349.1,29318.4,29338.1,276,10,0
2026-06-25T18:30:00+00:00,29341.2,29359.7,29330.9,29356.4,288,10,0
2026-06-25T18:31:00+00:00,29356.1,29392.1,29347.9,29373.8,276,10,0
2026-06-25T18:32:00+00:00,29372.2,29416.3,29368.3,29408.4,284,10,0
2026-06-25T18:33:00+00:00,29407.1,29410.2,29380.2,29395.7,273,10,0
2026-06-25T18:34:00+00:00,29393.8,29400.8,29341.6,29346.7,278,10,0
2026-06-25T18:35:00+00:00,29345.2,29378.2,29345.2,29368.3,280,10,0
2026-06-25T18:36:00+00:00,29368.9,29396.4,29365.4,29388.4,281,10,0
2026-06-25T18:37:00+00:00,29388.8,29403.4,29377.8,29377.8,278,10,0
2026-06-25T18:38:00+00:00,29376.8,29395.3,29367.9,29382.9,273,10,0
2026-06-25T18:39:00+00:00,29382.9,29382.9,29361.4,29365.1,276,10,0
2026-06-25T18:40:00+00:00,29365.4,29388.2,29356.4,29381.2,278,10,0
2026-06-25T18:41:00+00:00,29381.6,29393.7,29357.7,29379.3,281,10,0
2026-06-25T18:42:00+00:00,29378.7,29385.4,29364.3,29382.7,288,10,0
2026-06-25T18:43:00+00:00,29380.6,29410.2,29379.1,29390.2,279,10,0
2026-06-25T18:44:00+00:00,29391.1,29425.8,29389.3,29419.8,278,10,0
2026-06-25T18:45:00+00:00,29420.7,29467.6,29409.4,29459.9,283,10,0
2026-06-25T18:46:00+00:00,29459.9,29486.6,29456.3,29464.4,288,10,0
2026-06-25T18:47:00+00:00,29463.3,29476.4,29457.4,29468.9,278,10,0
2026-06-25T18:48:00+00:00,29468.4,29470.6,29416.3,29424.4,274,10,0
2026-06-25T18:49:00+00:00,29425.7,29431.2,29393.7,29402.7,280,10,0
2026-06-25T18:50:00+00:00,29402.8,29414.1,29377.6,29399.3,271,10,0
2026-06-25T18:51:00+00:00,29398.4,29437.9,29397.1,29413.6,276,10,0
2026-06-25T18:52:00+00:00,29410.6,29418.4,29399.3,29408.7,288,10,0
2026-06-25T18:53:00+00:00,29410.3,29415.4,29389.9,29404.6,268,10,0
2026-06-25T18:54:00+00:00,29403.3,29434.3,29403.1,29423.6,280,10,0
2026-06-25T18:55:00+00:00,29423.3,29430.4,29408.8,29412.8,269,10,0
2026-06-25T18:56:00+00:00,29412.8,29424.3,29402.9,29409.9,275,10,0
2026-06-25T18:57:00+00:00,29410.7,29438.1,29403.3,29415.7,278,10,0
2026-06-25T18:58:00+00:00,29417.7,29418.1,29391.8,29397.6,275,10,0
2026-06-25T18:59:00+00:00,29396.3,29398.8,29377.2,29384.9,268,10,0
2026-06-25T19:00:00+00:00,29385.9,29399.2,29370.6,29396.1,287,10,0
2026-06-25T19:01:00+00:00,29396.1,29406.6,29369.3,29396.1,280,10,0
2026-06-25T19:02:00+00:00,29396.3,29400.9,29379.9,29383.2,283,10,0
2026-06-25T19:03:00+00:00,29381.6,29394.3,29372.6,29382.7,276,10,0
2026-06-25T19:04:00+00:00,29384.1,29412.8,29382.6,29409.4,281,10,0
2026-06-25T19:05:00+00:00,29408.7,29443.2,29401.7,29435.7,281,10,0
2026-06-25T19:06:00+00:00,29434.1,29489.9,29427.8,29488.6,272,10,0
2026-06-25T19:07:00+00:00,29486.7,29490.1,29468.2,29469.7,283,10,0
2026-06-25T19:08:00+00:00,29471.1,29495.4,29458.8,29494.8,285,10,0
2026-06-25T19:09:00+00:00,29493.6,29520.4,29485.1,29514.9,273,10,0
2026-06-25T19:10:00+00:00,29513.8,29552.6,29506.7,29542.9,273,10,0
2026-06-25T19:11:00+00:00,29547.2,29566.4,29527.4,29535.6,276,10,0
2026-06-25T19:12:00+00:00,29533.9,29541.7,29516.6,29534.8,279,10,0
2026-06-25T19:13:00+00:00,29533.7,29567.2,29533.3,29565.9,277,10,0
2026-06-25T19:14:00+00:00,29559.9,29562.9,29544.7,29550.9,275,10,0
2026-06-25T19:15:00+00:00,29550.7,29579.1,29550.7,29574.4,275,10,0
2026-06-25T19:16:00+00:00,29574.1,29588.2,29568.4,29588.2,280,10,0
2026-06-25T19:17:00+00:00,29587.3,29594.3,29568.4,29580.9,268,10,0
2026-06-25T19:18:00+00:00,29580.9,29588.9,29562.1,29566.2,275,10,0
2026-06-25T19:19:00+00:00,29566.4,29566.9,29536.2,29543.6,274,10,0
