iter	Logloss
0	0.6888337962
1	0.6842555701
2	0.6803851881
3	0.6748861865
4	0.6703541283
5	0.6673477101
6	0.6642669312
7	0.6599159493
8	0.6556112138
9	0.6522319387
10	0.6468095069
11	0.6427809384
12	0.6394648791
13	0.6349507006
14	0.6320036638
15	0.6283353549
16	0.6256702655
17	0.6224860615
18	0.6190340391
19	0.615875663
20	0.6123807901
21	0.6066763444
22	0.6036401196
23	0.5999753503
24	0.5981521215
25	0.5937415597
26	0.5914587545
27	0.5884986468
28	0.5862878943
29	0.5837880421
30	0.5808631026
31	0.5784706242
32	0.5771611378
33	0.5747468031
34	0.572558691
35	0.5698875438
36	0.5676875515
37	0.566139655
38	0.565003501
39	0.562938559
40	0.5604698499
41	0.5580419559
42	0.5551862788
43	0.5525849181
44	0.5498747358
45	0.5475172354
46	0.5446438939
47	0.5414714474
48	0.5388713726
49	0.5365207208
50	0.5341791425
51	0.5309119556
52	0.5290397582
53	0.5267640998
54	0.5247241692
55	0.5225536733
56	0.5197899948
57	0.5173895403
58	0.5131064481
59	0.510715325
60	0.5086457699
61	0.5067549216
62	0.5045377978
63	0.501944316
64	0.4997094009
65	0.4978829894
66	0.4963975356
67	0.494734648
68	0.4921039928
69	0.4902637229
70	0.4874287309
71	0.4843584635
72	0.482702094
73	0.4807675888
74	0.4789730301
75	0.4769452252
76	0.4757883839
77	0.473306106
78	0.4718235981
79	0.4692214701
80	0.4666380247
81	0.4648356453
82	0.4632826657
83	0.4613102454
84	0.4600795578
85	0.4583245857
86	0.4559125494
87	0.4531901037
88	0.4521691537
89	0.4507513974
90	0.4492486743
91	0.4477511152
92	0.4466415255
93	0.4445929652
94	0.4420850818
95	0.4403876052
96	0.4388654644
97	0.4362998099
98	0.435147839
99	0.433202379
100	0.4323055254
101	0.4299248778
102	0.427381601
103	0.425578093
104	0.4242125868
105	0.422009872
106	0.4204440015
107	0.418677139
108	0.4172875347
109	0.4150496941
110	0.413645029
111	0.4114819678
112	0.4091085774
113	0.407336126
114	0.4053462791
115	0.4042068805
116	0.4016394876
117	0.399259345
118	0.398036949
119	0.3959037783
120	0.3947440262
121	0.3934770649
122	0.3913038097
123	0.3898419954
124	0.3876572503
125	0.3866488966
126	0.3840119805
127	0.3820838052
128	0.3808322806
129	0.3791099901
130	0.3777364617
131	0.3761925093
132	0.3745275713
133	0.3733918821
134	0.3721178302
135	0.36962734
136	0.3669841368
137	0.3649935775
138	0.3627660701
139	0.3611587522
140	0.3594055647
141	0.357950613
142	0.3567844845
143	0.3553251993
144	0.3535781776
145	0.3513772572
146	0.349680812
147	0.3484508845
148	0.3461238227
149	0.3437085094
150	0.3422309278
151	0.3399873774
152	0.338198903
153	0.3372121151
154	0.33503033
155	0.332696149
156	0.3308359154
157	0.3299489732
158	0.3285901431
159	0.3262158504
160	0.3247170799
161	0.3230651815
162	0.3213101678
163	0.319509127
164	0.3174155492
165	0.3159992065
166	0.3147246461
167	0.3129190021
168	0.3114385622
169	0.3098014127
170	0.3078022547
171	0.3054399998
172	0.3040430739
173	0.3023008761
174	0.3006855043
175	0.2994212732
176	0.2971235295
177	0.2951253246
178	0.2936646286
179	0.2922055387
180	0.2898588432
181	0.2887177627
182	0.2875595095
183	0.2857724922
184	0.2833874529
185	0.2820861162
186	0.2808925624
187	0.2792331239
188	0.2783962598
189	0.276655227
190	0.2748557903
191	0.2730758749
192	0.2712929613
193	0.2698263695
194	0.2688458712
195	0.2674501125
196	0.2657650458
197	0.2638797567
198	0.2618961903
199	0.2604296818
200	0.2596816345
201	0.2581647821
202	0.2574970407
203	0.255255712
204	0.2535602473
205	0.2522378691
206	0.2513737381
207	0.2500618095
208	0.2489196758
209	0.2477356472
210	0.2464986026
211	0.2448686457
212	0.2441565906
213	0.2426434243
214	0.2409435918
215	0.2393906716
216	0.2372723029
217	0.2356904042
218	0.2343908652
219	0.2331089189
220	0.2318577641
221	0.2305701598
222	0.2297938827
223	0.228828522
224	0.2281022463
225	0.2269128235
226	0.2258764636
227	0.2244487758
228	0.2223023087
229	0.2212522644
230	0.2195721947
231	0.2183289375
232	0.2177692498
233	0.2167945411
234	0.2152995111
235	0.2141969005
236	0.2130222126
237	0.212067021
238	0.2108848459
239	0.2103043467
240	0.2088180504
241	0.2071452364
242	0.2061725091
243	0.2055344687
244	0.2046456771
245	0.2039715006
246	0.2034085396
247	0.2021694207
248	0.2012936239
249	0.2002773129
250	0.1996198618
251	0.1984201754
252	0.1973314284
253	0.1958605709
254	0.1947210401
255	0.1935549655
256	0.1923503309
257	0.1917493851
258	0.1905292337
259	0.1897696783
260	0.1890971991
261	0.187921972
262	0.1875231953
263	0.1865847168
264	0.1854127262
265	0.1845396803
266	0.1836505424
267	0.1826252794
268	0.1813388278
269	0.1807311077
270	0.1798676341
271	0.1786999582
272	0.1774500175
273	0.176545003
274	0.1756558489
275	0.1747275794
276	0.1743180679
277	0.1735114321
278	0.1725998298
279	0.1720646396
280	0.1712138984
281	0.1704712636
282	0.1692157023
283	0.1679822304
284	0.1670563833
285	0.1663844677
286	0.1656284842
287	0.1645923625
288	0.1635507108
289	0.1631733369
290	0.1621643118
291	0.1617156934
292	0.1611604705
293	0.1608791496
294	0.1599130292
295	0.1591340198
296	0.1581438543
297	0.156950743
298	0.1566026364
299	0.1562290787
